0	5
0	25
0	49
1	2
1	12
1	29
1	34
1	49
2	32
2	37
2	48
3	30
4	6
4	7
4	16
4	33
5	10
5	36
6	21
6	23
7	0
7	1
7	12
7	23
7	44
8	3
8	28
8	29
10	0
10	31
10	34
11	23
12	0
13	37
14	0
14	30
14	45
16	9
16	10
16	18
17	13
17	27
17	30
18	22
19	5
19	33
20	0
20	3
20	15
21	31
21	40
21	42
21	49
22	38
23	20
24	28
25	22
26	0
26	5
26	21
26	38
26	49
27	6
27	38
28	25
29	19
29	43
30	43
31	8
31	13
31	34
32	6
32	19
32	38
33	1
33	15
33	32
33	35
33	42
33	48
34	16
34	40
35	37
36	4
36	11
36	13
36	42
36	45
36	47
36	49
37	39
38	22
38	27
39	9
39	17
39	41
39	49
40	11
40	14
40	21
40	45
40	46
41	43
42	34
43	28
44	21
47	18
47	19
47	37
47	41
48	8
48	27
48	43
48	46
49	19
49	34
